epoch,accuracy,dice,loss,val_accuracy,val_dice,val_loss
0,0.6320156455039978,0.08253283053636551,0.745481550693512,0.237498939037323,0.033971402794122696,2.0639805793762207
1,0.8921118378639221,0.23967482149600983,0.5906143188476562,0.45302003622055054,0.04670518636703491,1.8025377988815308
2,0.9551858305931091,0.40795662999153137,0.4997195303440094,0.6284874081611633,0.06827165186405182,1.2941299676895142
3,0.9630686044692993,0.48532116413116455,0.46858927607536316,0.7242752909660339,0.09091836214065552,1.4806269407272339
4,0.9732680320739746,0.5327677130699158,0.4535088837146759,0.7772524952888489,0.1103159561753273,0.8180002570152283
5,0.9803407192230225,0.6029176115989685,0.41788193583488464,0.8430931568145752,0.15718908607959747,0.576233446598053
6,0.9861389398574829,0.6746393442153931,0.3937220871448517,0.9082683324813843,0.24976439774036407,0.435882568359375
7,0.9892948269844055,0.7251931428909302,0.3791956603527069,0.9555762410163879,0.38810285925865173,0.3386739194393158
8,0.9910890460014343,0.7584901452064514,0.36315205693244934,0.9692518711090088,0.4681418538093567,0.29156583547592163
9,0.9920475482940674,0.7777863144874573,0.34868913888931274,0.9840942025184631,0.605916440486908,0.2303427904844284
10,0.9928845763206482,0.7955319881439209,0.33672958612442017,0.9899756908416748,0.6986234784126282,0.18928314745426178
11,0.9934435486793518,0.8079631924629211,0.3249422311782837,0.9938837289810181,0.7799260020256042,0.15500934422016144
12,0.9939277172088623,0.8193723559379578,0.31365546584129333,0.9954537153244019,0.823465883731842,0.13024544715881348
13,0.9937653541564941,0.8163869976997375,0.3052450716495514,0.9956855773925781,0.842856764793396,0.12218290567398071
14,0.9926835894584656,0.7918316125869751,0.3082372844219208,0.9953442215919495,0.8399734497070312,0.11842118948698044
15,0.9925849437713623,0.7892712950706482,0.3017008900642395,0.9958735108375549,0.8527680039405823,0.10918664187192917
16,0.9940300583839417,0.8233682513237,0.28738805651664734,0.9944165945053101,0.8195492029190063,0.1474529206752777
17,0.9946003556251526,0.8378906846046448,0.2773774564266205,0.9958258867263794,0.8538786768913269,0.12783274054527283
18,0.9950659275054932,0.8471725583076477,0.2658802270889282,0.9972656965255737,0.8961966633796692,0.09469575434923172
19,0.9952464699745178,0.8516086339950562,0.2580646872520447,0.9966095089912415,0.8755170702934265,0.11224456876516342
20,0.9952704906463623,0.8547385931015015,0.25241050124168396,0.9960677623748779,0.8594983220100403,0.11116864532232285
21,0.9953354597091675,0.8542487621307373,0.2457176297903061,0.9964559078216553,0.871612548828125,0.11486046016216278
22,0.9954681992530823,0.8596145510673523,0.24105291068553925,0.9954370856285095,0.8430389761924744,0.1634717881679535
23,0.9957973957061768,0.8666988611221313,0.23611144721508026,0.9948270320892334,0.8271999359130859,0.16785764694213867
24,0.9950719475746155,0.8487470746040344,0.24081149697303772,0.9953372478485107,0.8374568223953247,0.13138987123966217
25,0.9959116578102112,0.869860053062439,0.22921013832092285,0.9966853857040405,0.8786713480949402,0.12661264836788177
26,0.9959930777549744,0.8725959658622742,0.22152724862098694,0.9969125390052795,0.8861855268478394,0.12244594097137451
27,0.9962565898895264,0.88336181640625,0.21580801904201508,0.9971069693565369,0.8920506834983826,0.11425238102674484
28,0.9963682889938354,0.884045422077179,0.21026645600795746,0.9971418380737305,0.8929343819618225,0.11895745247602463
29,0.9962506294250488,0.880733847618103,0.20803412795066833,0.9968281388282776,0.8786921501159668,0.11499316245317459
30,0.9957842826843262,0.8709672689437866,0.2079492211341858,0.9967501163482666,0.8769828081130981,0.1210562214255333
31,0.9961430430412292,0.8797536492347717,0.21020294725894928,0.9972329139709473,0.8970812559127808,0.12236665934324265
32,0.9974023103713989,0.9187650680541992,0.20711369812488556,0.9966400265693665,0.8776006102561951,0.13798168301582336
33,0.9977484941482544,0.9241703152656555,0.19345831871032715,0.9971970915794373,0.8947435617446899,0.13539965450763702
34,0.9979367256164551,0.9316889047622681,0.18576613068580627,0.9974163174629211,0.9025698304176331,0.12862709164619446
35,0.9979444146156311,0.9308665990829468,0.18171921372413635,0.9974194169044495,0.9027441740036011,0.11803656071424484
36,0.9980224370956421,0.9330453276634216,0.17912845313549042,0.9974371790885925,0.9042088389396667,0.11336491256952286
37,0.9980351328849792,0.9334657192230225,0.17568235099315643,0.9974557161331177,0.9049452543258667,0.11690584570169449
38,0.9980078339576721,0.9321395754814148,0.1729711890220642,0.9973480105400085,0.9005951285362244,0.12975838780403137
39,0.997943103313446,0.9291921854019165,0.17034241557121277,0.9971479773521423,0.8934401869773865,0.14836791157722473
40,0.9978978037834167,0.9273802042007446,0.16888701915740967,0.9971134066581726,0.8922982811927795,0.14920808374881744
41,0.9977380037307739,0.923292338848114,0.17006050050258636,0.9970532059669495,0.8904584050178528,0.13105913996696472
42,0.9978762865066528,0.9285450577735901,0.17200034856796265,0.9968917369842529,0.8861357569694519,0.11769376695156097
43,0.9978179335594177,0.9260270595550537,0.17003975808620453,0.9973401427268982,0.9013649821281433,0.12920665740966797
44,0.9980775117874146,0.9355051517486572,0.16253536939620972,0.9974019527435303,0.9020835757255554,0.13675044476985931
45,0.9981682300567627,0.9369288086891174,0.15854591131210327,0.9972361326217651,0.8960990905761719,0.15289977192878723
46,0.998309314250946,0.9408196806907654,0.15479883551597595,0.9973796606063843,0.901323139667511,0.1509178727865219
47,0.9981140494346619,0.9360801577568054,0.15198345482349396,0.9974592924118042,0.905157208442688,0.1386096179485321
48,0.9981817603111267,0.9377644062042236,0.14934861660003662,0.9973273873329163,0.9008896946907043,0.1322997510433197
49,0.9982293844223022,0.9382913112640381,0.1486845761537552,0.9973946809768677,0.9027576446533203,0.13516119122505188
50,0.9982578158378601,0.9389078617095947,0.1503058820962906,0.9968910813331604,0.8860858678817749,0.15548984706401825
51,0.9981188774108887,0.9352685809135437,0.1594945639371872,0.9972065687179565,0.8954094648361206,0.15408003330230713
52,0.9983659982681274,0.9464569687843323,0.15621614456176758,0.9974800944328308,0.9059593081474304,0.1312231719493866
53,0.9984732866287231,0.9495730996131897,0.14658142626285553,0.9973830580711365,0.9030532240867615,0.1223880723118782
54,0.9985690712928772,0.9513364434242249,0.14439141750335693,0.9974939823150635,0.9057942628860474,0.14207887649536133
55,0.9987719058990479,0.9568678140640259,0.14116708934307098,0.9974415302276611,0.9031402468681335,0.15986619889736176
56,0.9986968040466309,0.9540634155273438,0.1389840692281723,0.997563898563385,0.9083972573280334,0.14536966383457184
57,0.9985888004302979,0.9519008994102478,0.1369541734457016,0.9974911212921143,0.9067835807800293,0.13953576982021332
58,0.9986630082130432,0.9525623321533203,0.13551479578018188,0.997469961643219,0.9055353403091431,0.14622320234775543
59,0.9987767338752747,0.9559392929077148,0.13387435674667358,0.997403085231781,0.9023146033287048,0.16288650035858154
60,0.998797595500946,0.9562183022499084,0.13265030086040497,0.997464120388031,0.9044862985610962,0.1587309092283249
61,0.9986810684204102,0.9539868831634521,0.13153870403766632,0.9975143671035767,0.9071686863899231,0.1473970115184784
62,0.9987275004386902,0.9549009799957275,0.13057130575180054,0.9974952936172485,0.9065127372741699,0.14649224281311035
63,0.9988381862640381,0.9579559564590454,0.1297120451927185,0.9974005222320557,0.9026246070861816,0.15482233464717865
64,0.9988812208175659,0.9591454863548279,0.12894302606582642,0.9974064826965332,0.9027085900306702,0.15751132369041443
65,0.9988255500793457,0.9580510854721069,0.1286509484052658,0.9975356459617615,0.9075998663902283,0.15532854199409485
66,0.9988250136375427,0.9582412838935852,0.12841010093688965,0.9975335597991943,0.9076954126358032,0.14899061620235443
67,0.9989219307899475,0.961108386516571,0.1270774006843567,0.9974181056022644,0.9034392237663269,0.15072132647037506
68,0.9989436268806458,0.961723268032074,0.12628120183944702,0.9974481463432312,0.9043741822242737,0.15590286254882812
69,0.9989137053489685,0.9610275030136108,0.12531612813472748,0.9974727034568787,0.9053811430931091,0.15372800827026367
70,0.9989216923713684,0.961351752281189,0.12449638545513153,0.9974333047866821,0.9041109085083008,0.1515091359615326
71,0.9989513158798218,0.9621293544769287,0.12389989197254181,0.9974212050437927,0.9036486744880676,0.15370213985443115
